PLAYER,GP,MIN,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,#ERROR!
Bam Adebayo,2,40,10.5,19.5,53.8,0,0.5,0,2.5,2.5,100,2,9,11,4.5,2,0,1,4,23.5,5.5
Gabe Vincent,2,34.7,7.5,13,57.7,4.5,8,56.3,1.5,1.5,100,0.5,0.5,1,4,1,1,0.5,2.5,21,11
Jimmy Butler,2,39.2,6.5,16.5,39.4,1.5,3.5,42.9,2.5,2.5,100,2.5,3,5.5,8,1,0.5,0.5,0.5,17,-7
Kyle Lowry,2,24.6,3,6,50,2.5,4.5,55.6,1.5,1.5,100,0,2.5,2.5,4,2.5,0.5,0,2,10,-6.5
Haywood Highsmith,2,14.8,3.5,5,70,1,2,50,1,1,100,1,0.5,1.5,0,0.5,1,0.5,2,9,-10
Max Strus,2,25.1,2,10,20,2,9.5,21.1,1,1.5,66.7,0,3.5,3.5,4.5,0,0,0.5,1.5,7,1
Duncan Robinson,2,19.3,2.5,5.5,45.5,1.5,4,37.5,0,0.5,0,0,0.5,0.5,1,0.5,0,0,2,6.5,-5
Kevin Love,1,22.2,2,9,22.2,2,6,33.3,0,0,0,3,7,10,1,0,2,0,0,6,18
Caleb Martin,2,23,1,5,20,1,2,50,0,0,0,1.5,3,4.5,0.5,1,1,1,2,3,-8.5
Cody Zeller,2,7.7,1,1.5,66.7,0,0,0,0,0,0,0.5,1,1.5,0,1,0,0,2,2,-9.5
Nikola Jovic,1,0.5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Omer Yurtseven,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0