"RANK","TEAM","CONF","DIVISION","GP","PPG","oPPG","pDIFF","PACE","oEFF","dEFF","eDIFF","SOS","rSOS","SAR","CONS","A4F","W","L","WIN%","eWIN%","pWIN%","ACH","STRK"
"1","Milwaukee","East","Central","82","116.9","113.3","3.6","100.5","115.5","111.9","3.6","-0.44","0.00","3.16","15","0.086","58","24","0.707","0.595","0.619","0.112","-2"
"2","Boston","East","Atlantic","82","117.9","111.4","6.5","98.4","118.1","111.5","6.6","-0.84","0.00","5.76","14.3","0.063","57","25","0.695","0.677","0.714","0.018","3"
"3","Philadelphia","East","Atlantic","82","115.2","110.9","4.3","96.8","117.8","113.4","4.4","0.11","-1.30","4.51","13.3","0.021","54","28","0.659","0.629","0.642","0.03","2"
"4","Cleveland","East","Central","82","112.3","106.9","5.4","95.6","116.2","110.6","5.6","-1.03","1.60","4.57","12.9","0.004","51","31","0.622","0.667","0.678","-0.045","-1"
"5","New York","East","Atlantic","82","116","113.1","2.9","97.1","117.8","114.9","2.9","-0.02","8.40","2.88","13","0.021","47","35","0.573","0.589","0.595","-0.016","-2"
"6","Brooklyn","East","Atlantic","82","113.4","112.5","0.9","98.3","115","114.2","0.8","-0.05","4.80","0.75","15.6","0.036","45","37","0.549","0.521","0.53","0.028","-1"
"7","Miami","East","Southeast","82","109.5","109.8","-0.3","96.1","113.2","113.5","-0.3","-0.07","-1.70","-0.37","11.8","-0.07","44","38","0.537","0.49","0.49","0.047","1"
"8","Atlanta","East","Southeast","82","118.4","118.1","0.3","100.7","116.7","116.4","0.3","0.62","-0.20","0.92","12.9","-0.026","41","41","0.500","0.509","0.51","-0.009","-2"
"9","Toronto","East","Atlantic","82","112.9","111.4","1.5","97.1","115.5","114","1.5","-0.32","0.95","1.18","12.5","-0.119","41","41","0.500","0.548","0.549","-0.048","1"
"10","Chicago","East","Central","82","113.1","111.8","1.3","98.5","113.5","112.2","1.3","0.11","4.70","1.41","15","-0.013","40","42","0.488","0.534","0.543","-0.046","2"
"11","Indiana","East","Central","82","116.3","119.5","-3.2","100.9","114.8","117.9","-3.1","0.11","0.00","-2.99","10.8","-0.027","35","47","0.427","0.387","0.395","0.04","1"
"12","Washington","East","Southeast","82","113.2","114.4","-1.2","98.5","114.5","115.7","-1.2","0.20","0.00","-1.00","13.2","0.032","35","47","0.427","0.464","0.46","-0.037","-1"
"13","Orlando","East","Southeast","82","111.4","114","-2.6","99.2","111.7","114.3","-2.6","1.01","0.00","-1.59","12.1","-0.015","34","48","0.415","0.415","0.414","0","-4"
"14","Charlotte","East","Southeast","82","111","117.2","-6.2","100.8","109.3","115.4","-6.1","1.11","0.00","-4.99","13","-0.044","27","55","0.329","0.32","0.296","0.009","1"
"15","Detroit","East","Central","82","110.3","118.5","-8.2","99","110.7","119","-8.3","0.92","0.00","-7.38","12.3","-0.04","17","65","0.207","0.25","0.23","-0.043","-1"
"16","Denver","West","Northwest","82","115.8","112.5","3.3","98.1","117.6","114.2","3.4","-0.56","0.00","2.84","14.3","0.058","53","29","0.646","0.594","0.609","0.052","1"
"17","Memphis","West","Southwest","82","116.9","113","3.9","101","115.1","111.3","3.8","-0.49","0.00","3.31","14.7","0.007","51","31","0.622","0.602","0.628","0.02","-1"
"18","Sacramento","West","Pacific","82","120.8","118.1","2.7","100.3","119.5","116.9","2.6","-0.49","-4.20","2.11","13.5","0.006","48","34","0.585","0.577","0.589","0.008","-3"
"19","Phoenix","West","Pacific","82","113.6","111.6","2","98.2","115.2","113.1","2.1","0.34","-1.20","2.44","15.2","-0.001","45","37","0.549","0.555","0.566","-0.006","-2"
"20","Golden State","West","Pacific","82","118.9","117.1","1.8","101.7","116.4","114.7","1.7","0.37","3.20","2.07","15.4","0.067","44","38","0.537","0.544","0.559","-0.007","3"
"21","LA Clippers","West","Pacific","82","113.6","113.1","0.5","97.9","115.1","114.6","0.5","0.11","5.00","0.61","13.5","0.028","44","38","0.537","0.515","0.516","0.022","3"
"22","LA Lakers","West","Pacific","82","117.2","116.6","0.6","101.3","114.5","114","0.5","0.33","-1.00","0.83","11.3","0.024","43","39","0.524","0.518","0.52","0.006","2"
"23","Minnesota","West","Northwest","82","115.8","115.8","0","101","113.8","113.8","0","0.32","0.95","0.32","11.6","0.02","42","40","0.512","0.5","0.5","0.012","3"
"24","New Orleans","West","Southwest","82","114.4","112.5","1.9","99","114.5","112.6","1.9","-0.13","-1.05","1.77","14.7","0.001","42","40","0.512","0.551","0.563","-0.039","-1"
"25","Oklahoma City","West","Northwest","82","117.5","116.4","1.1","101.1","115.4","114.4","1","-0.20","5.00","0.80","12.7","-0.068","40","42","0.488","0.531","0.536","-0.043","2"
"26","Dallas","West","Southwest","82","114.2","114.1","0.1","96.5","116.9","116.8","0.1","-0.35","0.00","-0.25","12.3","-0.002","38","44","0.463","0.503","0.503","-0.04","-2"
"27","Utah","West","Northwest","82","117.1","118.1","-1","100.4","115.8","116.8","-1","-0.16","0.00","-1.16","11.4","0.043","37","45","0.451","0.465","0.467","-0.014","-1"
"28","Portland","West","Northwest","82","113.4","117.4","-4","98.5","114.8","118.9","-4.1","0.09","0.00","-4.01","15","-0.015","33","49","0.402","0.392","0.368","0.01","-4"
"29","Houston","West","Southwest","82","110.7","118.6","-7.9","99","111.4","119.3","-7.9","0.66","0.00","-7.24","12.6","-0.026","22","60","0.268","0.265","0.24","0.003","3"
"30","San Antonio","West","Southwest","82","113","123.1","-10.1","101.6","110.3","120.1","-9.8","0.53","0.00","-9.27","14.9","-0.059","22","60","0.268","0.256","0.167","0.012","1"