PLAYER,GP,MIN,FGM,FGA,FG%,3 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,P/M
Nikola Jokic,4,40.8,11,20,55,1.8,4,43.8,7,8,87.5,2,11.5,13.5,8,3.3,1,1.5,3.5,30.8,6.8
Jamal Murray,4,42.5,8.8,19,46.1,2.5,6,41.7,3.3,3.5,92.9,1.3,4.5,5.8,10.5,2.8,1,0,1.8,23.3,10.8
Aaron Gordon,4,37.5,7,10.5,66.7,1.3,1.8,71.4,1.3,2.8,45.5,1.8,5.8,7.5,3.5,0.5,0.5,0.5,2.5,16.5,13.3
Bruce Brown,4,26.5,4.3,8,53.1,1.8,3.5,50,1.5,1.8,85.7,0.3,3.8,4,1,1.8,1,1,1.5,11.8,5.8
Michael Porter Jr.,4,28.3,3,10.3,29.3,0.8,5.5,13.6,1.3,1.5,83.3,1.3,6,7.3,0.3,0.3,0,0.5,1.5,8,7.3
Kentavious Caldwell-Pope,4,34.2,1.8,5.3,33.3,1,3.5,28.6,2,2.8,72.7,0.8,2.5,3.3,1.3,0.8,1.3,0.8,3,6.5,4.8
Christian Braun,4,14.3,2.5,3.3,76.9,0,0.3,0,0.5,0.8,66.7,0.8,1,1.8,1.3,0.8,1.3,0.3,1.5,5.5,-2
Jeff Green,4,15,1.5,1.8,85.7,0.5,0.5,100,1.5,1.5,100,0.3,0.3,0.5,0.5,0.5,0.3,0,1,5,-1
Peyton Watson,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Jackson,1,1.4,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,-2
Thomas Bryant,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vlatko Cancar,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeke Nnaji,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0